term,weight
хороший_ADJF,1.0
отличный_ADJF,0.8205830232465533
удобный_ADJF,0.5307567495614144
дизайн_NOUN,0.41030265016861195
звук_NOUN,0.3308473093648451
яркий_ADJF,0.3265693667082527
экран_NOUN,0.2927508660380042
качество_NOUN,0.284857710499644
громкий_ADJF,0.27206660515335546
достоинство_NOUN,0.21450323087288967
камера_NOUN,0.21359874363494877
неплохой_ADJF,0.20260083601099932
качественный_ADJF,0.19790391232103657
шустрый_ADJF,0.18522632323489643
красивый_ADJF,0.1822605577305277
большой_ADJF,0.1747713003521255
лёгкий_ADJF,0.15771499463547464
быстрый_ADJF,0.1563584434073055
отлично_ADVB,0.15156692390381601
цена_NOUN,0.14694650549719762
приятный_ADJF,0.14057208921412018
удобно_ADVB,0.13508496876830026
супер_ADJF,0.12880017054651263
дисплей_NOUN,0.11638063450887418
чёткий_ADJF,0.11536202123586571
скорость_NOUN,0.11516019934160728
радовать_INFN,0.1095164660163502
производительность_NOUN,0.100475822466878
лежать_INFN,0.09793135869058076
стильный_ADJF,0.09694643197213916
процессор_NOUN,0.09328811492180611
сборка_NOUN,0.0903238222299251
мощный_ADJF,0.09011784294150169
очень_ADVB,0.0866827133828477
достаточно_ADVB,0.08559625643241277
размер_NOUN,0.08262730880762112
порадовать_INFN,0.0822733348281696
сенсор_NOUN,0.08040265469813655
вполне_ADVB,0.08005706883025011
рука_NOUN,0.07914040032473343
внешний_ADJF,0.07878880065993192
динамика_NOUN,0.07625250355185816
наличие_NOUN,0.07544664442827728
тонкий_ADJF,0.07420494389285376
летать_INFN,0.07241111468077135
приятно_ADVB,0.06652863822676928
сочный_ADJF,0.0663832403441083
видео_NOUN,0.06479239421794318
вид_NOUN,0.06435417184659778
шикарный_ADJF,0.060124867072432996
великолепный_ADJF,0.05808339826707856
классный_ADJF,0.05639151102786076
высота_NOUN,0.05407772873654496
возможность_NOUN,0.05211766383321098
удобство_NOUN,0.051895853213272135
довольный_ADJF,0.05125164276010748
компактный_ADJF,0.05106797881298411
замечательный_ADJF,0.04740648400116588
смотреть_INFN,0.04663970134883165
нравиться_INFN,0.04538009493418028
крепкий_ADJF,0.04497144484185928
быстродействие_NOUN,0.04404607856502551
отзывчивый_ADJF,0.04334819451103332
насыщенный_ADJF,0.04305116006945953
прекрасный_ADJF,0.042462616468467995
прочный_ADJF,0.04239505388532175
динамик_NOUN,0.042288640402537776
довольно_ADVB,0.04211808902669478
соотношение_NOUN,0.041856204154368096
держать_INFN,0.04168610297839163
множество_NOUN,0.041539120790885696
достойный_ADJF,0.04136184837194216
функциональность_NOUN,0.039892586253953734
функция_NOUN,0.039529083672923036
полезный_ADJF,0.039517062813210733
цвет_NOUN,0.037858289917453006
интерфейс_NOUN,0.03732506545125221
приличный_ADJF,0.03714092776361555
перечислять_INFN,0.03603714661905415
железо_NOUN,0.03487733488115412
фильм_NOUN,0.034532117431429116
прикольный_ADJF,0.0335323007973847
потрясать_INFN,0.0335323007973847
понятный_ADJF,0.032898263557061665
поддержка_NOUN,0.032064729938308
огромный_ADJF,0.030991618308063608
сканер_NOUN,0.030919200894326773
симпатичный_ADJF,0.030025657208438503
звучание_NOUN,0.02987797357205835
высокий_ADJF,0.02924230061343211
падать_INFN,0.029113000265278393
работа_NOUN,0.028704183499879896
простой_NOUN,0.028390917286145345
вспышка_NOUN,0.02793549537261577
начинка_NOUN,0.02790170874074959
цветопередача_NOUN,0.02701628052559057
понравиться_INFN,0.02676214987151218
превосходный_ADJF,0.02651917759737467
недорогой_ADJF,0.025016450815665087
перечислить_INFN,0.024966638062522504
адекватный_ADJF,0.02478152164218204
вес_NOUN,0.024724344921107286
чистый_ADJF,0.02448188203532202
навигация_NOUN,0.02405835037746536
оптимальный_ADJF,0.023682435580870607
функциональный_ADJF,0.02350681606784531
ощупь_NOUN,0.023378859708413975
чувствительный_ADJF,0.023220840954085827
неубивать_INFN,0.023012861952691553
функционал_NOUN,0.0228161346274932
чётко_ADVB,0.022702719007411994
простота_NOUN,0.022511973102076893
управление_NOUN,0.02245524226369483
удовольствие_NOUN,0.022170992011391593
обзор_NOUN,0.022130773868622795
красочный_ADJF,0.022011087597446667
быстрота_NOUN,0.022011087597446667
комплектация_NOUN,0.021866840305425985
класс_NOUN,0.021625471204311797
фишка_NOUN,0.02142374800540036
дюйм_NOUN,0.02116699973614007
идеальный_ADJF,0.02115296279900878
похвала_NOUN,0.021009326626005402
прекрасно_ADVB,0.019845491868323756
характеристика_NOUN,0.01964808706193761
спокойно_ADVB,0.019582845883158184
богатый_ADJF,0.019506710262888582
фото_NOUN,0.018780191023069482
фонарик_NOUN,0.01806466763618382
отпечаток_NOUN,0.01801178154640731
многофункциональный_ADJF,0.01800412401182126
стерео_NOUN,0.018000377861012433
андройда_NOUN,0.017513734677492315
классно_ADVB,0.017503268619542257
всякий_ADJF,0.017325898713054937
качественно_ADVB,0.01715866317405535
снимать_INFN,0.017054656398057144
эргономичный_ADJF,0.017002416572912446
нарекание_NOUN,0.016691558770961148
устраивать_INFN,0.016654140594832754
шустро_ADVB,0.0166487587149024
идеально_ADVB,0.016406137330884956
наушник_NOUN,0.0164042649139422
неплохо_ADVB,0.01631095096087644
смотреться_INFN,0.016200598914962987
сменный_ADJF,0.01600072251646626
тянуть_INFN,0.01578928173577323
любой_NOUN,0.015552571856527576
привлекательный_ADJF,0.015499880506582853
сказка_NOUN,0.015499880506582853
куча_NOUN,0.015397221708032382
выбор_NOUN,0.015285282075446245
компактность_NOUN,0.014999041842214542
интересный_ADJF,0.014975623627176114
